quarter,hpi_linear_trend,hpi_exponential,hpi_cagr_conservative,hpi_cagr_expected,hpi_cagr_optimistic,hpi_prophet,hpi_prophet_lo,hpi_prophet_hi
2026-01-01,118.90476190476191,121.29989729554734,148.82750875000002,149.29260625,150.18588875,115.89772324173916,99.83115142091239,132.65938825429697
2026-04-01,119.51036414565827,122.05923251387183,150.0144081322813,150.95348649453126,152.76533138928124,116.39554977252176,98.6909328512984,134.90871227586973
2026-07-01,120.11596638655463,122.82332115727463,151.21077303713622,152.63284403178295,155.3890759558921,116.89884692452175,97.96355206563851,136.88620807538848
2026-10-01,120.72156862745099,123.5921929821127,152.4166789521074,154.3308844216365,158.05788333543458,117.40214407652176,96.67441992033109,139.47362851412942
2027-01-01,121.32717086834735,124.36587793101761,153.63220196675047,156.04781551082723,160.77252748172066,117.89449998608698,95.37350175888298,141.75356071483864
2027-04-01,121.93277310924371,125.14440613406111,154.85741877743533,157.7838474583852,163.5337956412192,118.39232651686959,93.96319383553524,144.2873729392346
2027-07-01,122.53837535014006,125.92780790992877,156.09240669218536,159.53919276135974,166.34248858135712,118.8956236688696,93.03965937476869,146.64483535885483
2027-10-01,123.14397759103642,126.71611376710051,157.33724363555555,161.31406628082988,169.19942082274193,119.39892082086959,91.85150030026426,149.00940097502362
2028-01-01,123.74957983193278,127.50935440503883,158.59200815354913,163.1086852682041,172.10542087537252,119.8967473516522,90.21257777827431,151.42075808494803
2028-04-01,124.35518207282914,128.3075607153843,159.8567794185737,164.9232693918129,175.06133147890702,120.39457388243481,88.66800460795213,154.36508765865167
2028-07-01,124.9607843137255,129.1107637831587,161.13163723443682,166.75804076379686,178.06800984705723,120.89787103443481,86.96672170739215,156.96328331432184
2028-10-01,125.56638655462186,129.91899488797532,162.41666204138147,168.6132239672941,181.12632791618046,121.4011681864348,85.48187451545346,160.02739276653585
2029-01-01,126.17198879551822,130.7322855052575,163.7119349211615,170.48904608393022,184.23717259814083,121.89352409600002,83.94896237104612,162.43397285029548
2029-04-01,126.77759103641458,131.55066730746412,165.01753760215777,172.38573672161397,187.40144603751386,122.39135062678264,82.94142835817837,164.34008341903748
2029-07-01,127.38319327731094,132.37417216532282,166.33355246453496,174.30352804264194,190.62006587320815,122.89464777878263,81.95767607000987,167.05350319174786
2029-10-01,127.9887955182073,133.20283214907178,167.66006254543967,176.24265479211633,193.8939655045805,123.39794493078264,80.87860696179754,169.7119381515704
2030-01-01,128.59439775910366,134.03667952970818,168.99715154423956,178.20335432667864,197.22409436212166,123.89030084034783,80.28308545208056,171.950900393436
2030-04-01,129.20000000000002,134.87574678024507,170.34490382780487,180.18586664356295,200.61141818279108,124.38812737113047,78.88194267956852,174.58263261165175
2030-07-01,129.80560224089638,135.72006657697597,171.70340443583166,182.1904344099726,204.05691929008054,124.89142452313045,77.17673184632805,177.9213585960026
2030-10-01,130.41120448179274,136.56967180074744,173.0727390862074,184.21730299278354,207.56159687888763,125.39472167513046,75.38963639184696,180.00275837045552
2031-01-01,131.0168067226891,137.42459553823963,174.45299418041992,186.26672048857827,211.12646730528255,125.88707758469569,73.58515929091955,183.25080688579087
2031-04-01,131.62240896358543,138.28487108325456,175.84425680900878,188.33893775401373,214.75256438125075,126.38490411547829,72.80682427928717,186.53327574062772
2031-07-01,132.2280112044818,139.15053193801302,177.24661475706063,190.43420843652714,218.4409396744987,126.88820126747828,70.85684291111913,189.20446128356423
2031-10-01,132.83361344537815,140.02161181445905,178.66015650974822,192.55278900538352,222.19266281340822,127.3914984194783,69.29919850791997,192.00667440632904
2032-01-01,133.4392156862745,140.89814463557283,180.08497125791345,194.69493878306838,226.00882179722848,127.8893249502609,67.75742959055556,194.19929764983368
2032-04-01,134.04481792717087,141.78016453669187,181.52114890369532,196.86091997703005,229.89052331159584,128.3871514810435,66.53076410716744,198.0010820656838
2032-07-01,134.65042016806723,142.66770586684038,182.9687800662023,199.05099771177453,233.83889304947252,128.89044863304352,65.11253080633672,201.64012141679476
2032-10-01,135.2560224089636,143.56080319006645,184.42795608723029,201.26544006131803,237.85507603759717,129.3937457850435,62.613519802858356,203.75113051130302
2033-01-01,135.86162464985995,144.45949128678893,185.89876903702597,203.5045180820002,241.9402369685429,129.88610169460873,59.910593064724935,207.94410898957122
2033-04-01,136.4672268907563,145.36380515515134,187.38131172009625,205.76850584566247,246.09556053847763,130.38392822539132,58.03616268812161,210.71175086705645
2033-07-01,137.07282913165267,146.27378001238492,188.87567768106402,208.0576804731955,250.32225179072594,130.88722537739133,56.229801948382374,213.03968048050268
2033-10-01,137.67843137254903,147.18945129618024,190.38196121057055,210.37232216845976,254.62153646523166,131.39052252939135,53.91592207372814,215.40657997001085
2034-01-01,138.2840336134454,148.1108546660671,191.90025735122484,212.71271425258388,258.994661354022,131.88287843895654,53.207690255566426,218.45500288748147
2034-04-01,138.88963585434175,149.03802600480336,193.43066190360088,215.07914319864392,263.4428946627773,132.38070496973916,51.03377171423151,223.02083966600762
2034-07-01,139.4952380952381,149.97100141977234,194.9732714322821,217.47189866672886,267.9675263786105,132.88400212173917,49.350521626531396,225.62764972987262
2034-10-01,140.10084033613447,150.90981724438893,196.5281832719546,219.89127353939622,272.5698686441631,133.38729927373916,45.9892210383295,228.73628215051397
2035-01-01,140.70644257703083,151.85451003951465,198.09549553354842,222.33756395752198,277.25125613812656,133.87965518330438,43.63745468138416,231.3549653644272
2035-04-01,141.3120448179272,152.805116594881,199.6753071104285,224.81106935654944,282.0130464622989,134.377481714087,41.37697202329247,235.5337153980506
2035-07-01,141.91764705882355,153.76167393052296,201.26771768463416,227.31209250314106,286.85662053528887,134.88077886608698,38.979489644884225,238.89576241686885
2035-10-01,142.5232492997199,154.72421929822013,202.87282773316912,229.84093953223854,291.7833829929824,135.38407601808697,35.73814473764439,241.8646757395319
