year,rate_annual_avg,rate_annual_min,rate_annual_max,rate_annual_open,rate_annual_close,months_in_year,rate_annual_yoy_pct
2013,16.030833333333334,14.4,18.73,14.97,16.83,12,
2014,16.645,15.86,17.39,16.83,17.16,12,3.831158704579707
2015,17.485,16.68,18.29,17.16,18.02,12,5.046560528687283
2016,18.301666666666666,17.98,18.76,18.03,18.5,12,4.670670098179386
2017,17.669999999999998,17.31,18.65,18.5,17.38,12,-3.4514160823240214
2018,18.631666666666664,17.22,20.28,17.38,18.94,12,5.442369364270894
2019,19.150000000000002,18.59,19.71,18.94,19.42,12,2.782001967975689
2020,20.165833333333335,19.24,20.97,19.43,19.88,12,5.304612706701484
2021,20.116666666666667,19.67,20.81,19.89,20.27,12,-0.24381172775734816
2022,21.464166666666667,20.08,22.67,20.28,22.52,12,6.698425849212919
2023,22.478333333333335,22.02,22.73,22.53,22.65,12,4.724929145475021
2024,22.8,22.5,23.37,22.66,23.29,12,1.431007636983761
2025,23.775833333333335,22.81,24.8,23.3,24.47,12,4.27997076023392
