date,rate_close,rate_open,rate_high,rate_low,year,month,mom_change_pct,yoy_change_pct
2013-01-01,14.5,14.97,15.08,14.45,2013,1,-2.91,
2013-02-01,14.8,14.5,14.87,14.4,2013,2,2.08,
2013-03-01,14.78,14.8,15.01,14.67,2013,3,-0.16,
2013-04-01,14.61,14.78,14.96,14.61,2013,4,-1.12,
2013-05-01,15.4,14.61,15.45,14.6,2013,5,5.39,
2013-06-01,16.2,15.4,16.54,15.33,2013,6,5.21,
2013-07-01,16.56,16.21,16.67,15.98,2013,7,2.23,
2013-08-01,17.89,16.57,18.73,16.4,2013,8,7.99,
2013-09-01,17.04,17.91,18.68,16.79,2013,9,-4.76,
2013-10-01,16.77,17.04,17.04,16.59,2013,10,-1.54,
2013-11-01,16.99,16.78,17.4,16.74,2013,11,1.26,
2013-12-01,16.83,16.99,17.03,16.56,2013,12,-0.94,
2014-01-01,17.07,16.83,17.24,16.69,2014,1,1.43,17.72413793103449
2014-02-01,16.82,17.07,17.11,16.81,2014,2,-1.42,13.648648648648653
2014-03-01,16.34,16.82,16.92,16.25,2014,3,-2.89,10.554803788903921
2014-04-01,16.43,16.34,16.66,16.22,2014,4,0.56,12.457221081451063
2014-05-01,16.11,16.43,16.43,15.86,2014,5,-1.94,4.610389610389598
2014-06-01,16.35,16.09,16.48,16.06,2014,6,1.48,0.92592592592593
2014-07-01,16.49,16.35,16.49,16.21,2014,7,0.84,-0.4227053140096637
2014-08-01,16.47,16.49,16.81,16.43,2014,8,-0.08,-7.937395192845176
2014-09-01,16.86,16.48,16.87,16.39,2014,9,2.36,-1.0563380281690127
2014-10-01,16.71,16.86,16.87,16.58,2014,10,-0.87,-0.3577817531305816
2014-11-01,16.93,16.72,16.95,16.69,2014,11,1.32,-0.35314891112417923
2014-12-01,17.16,16.94,17.39,16.82,2014,12,1.34,1.9607843137255054
2015-01-01,16.88,17.16,17.32,16.68,2015,1,-1.62,-1.1130638547158789
2015-02-01,16.78,16.89,17.03,16.76,2015,2,-0.58,-0.23781212841854638
2015-03-01,16.96,16.79,17.19,16.79,2015,3,1.03,3.79436964504285
2015-04-01,17.29,16.96,17.36,16.86,2015,4,1.98,5.23432744978698
2015-05-01,17.35,17.3,17.53,17.23,2015,5,0.32,7.697082557417767
2015-06-01,17.31,17.35,17.51,17.27,2015,6,-0.2,5.871559633027501
2015-07-01,17.42,17.32,17.5,17.22,2015,7,0.59,5.639781685870249
2015-08-01,18.08,17.42,18.22,17.33,2015,8,3.8,9.77534911961142
2015-09-01,17.83,18.08,18.22,17.83,2015,9,-1.36,5.753262158956107
2015-10-01,17.81,17.84,17.89,17.6,2015,10,-0.15,6.582884500299202
2015-11-01,18.09,17.81,18.23,17.79,2015,11,1.58,6.851742468989963
2015-12-01,18.02,18.09,18.29,17.95,2015,12,-0.35,5.011655011655014
2016-01-01,18.48,18.03,18.58,18.01,2016,1,2.51,9.478672985782
2016-02-01,18.56,18.48,18.76,18.38,2016,2,0.47,10.6078665077473
2016-03-01,18.03,18.57,18.61,18.0,2016,3,-2.85,6.308962264150941
2016-04-01,18.08,18.04,18.2,17.98,2016,4,0.26,4.569115095430876
2016-05-01,18.29,18.08,18.45,18.03,2016,5,1.17,5.4178674351584855
2016-06-01,18.37,18.3,18.58,18.09,2016,6,0.45,6.123627960716371
2016-07-01,18.14,18.38,18.4,18.14,2016,7,-1.28,4.133180252583224
2016-08-01,18.23,18.15,18.34,18.13,2016,8,0.49,0.829646017699126
2016-09-01,18.12,18.23,18.28,18.04,2016,9,-0.61,1.6264722378014795
