year,hpi_index,hpi_growth_pct,hpi_assessment,cpi_pct,cumulative_inflation_index,aed_inr_rate,fx_growth_pct,rolling_hpi_growth_3y,rolling_hpi_growth_5y,hpi_cagr_from_2013,post_covid_hpi_growth,is_post_covid,rolling_fx_growth_3y,rolling_fx_growth_5y,fx_cagr_from_2013,currency_volatility_index,rolling_inflation_3y,rolling_inflation_5y,inflation_regime,scenario_conservative_hpi,scenario_expected_hpi,scenario_optimistic_hpi,scenario_conservative_fx,scenario_expected_fx,scenario_optimistic_fx,scenario_conservative_cpi,scenario_expected_cpi,scenario_optimistic_cpi
2013,86.0,,84.66666666666667,10.0178784746102,1.100178784746102,16.030833333333334,,,,,,0,,,,,,,High,3.186499165923417,4.4485,6.8732,2.0,3.3392,4.2836,7.5,6.0,4.0
2014,90.25,4.941860465116288,89.25,6.66565671867899,1.1735129258290111,16.645,3.831158704579707,,,4.941860465116288,,0,,,3.831158704579707,,8.341767596644594,,High,3.186499165923417,4.4485,6.8732,2.0,3.3392,4.2836,7.5,6.0,4.0
2015,94.75,4.986149584487531,89.75,4.90697344127256,1.2310968934293414,17.485,5.046560528687283,4.96400502480191,,4.964002688850977,,0,4.438859616633495,,4.437091579689101,0.859418871692966,7.1968362115205835,7.1968362115205835,Moderate,3.186499165923417,4.4485,6.8732,2.0,3.3392,4.2836,7.5,6.0,4.0
2016,96.75,2.110817941952514,95.75,4.94821634062141,1.292014231078895,18.301666666666662,4.670670098179386,4.012942663852111,4.012942663852111,4.0041911525952045,,0,4.516129777148792,4.516129777148792,4.5148931123730085,0.6222639565563673,5.506948833524319,6.634681243795789,Moderate,3.186499165923417,4.4485,6.8732,2.0,3.3392,4.2836,7.5,6.0,4.0
2017,98.0,1.2919896640826822,99.0,3.32817337461298,1.335014704713873,17.669999999999998,-3.4514160823240214,2.796319063507576,3.332704413909754,3.3194072925426976,,0,2.0886048481808825,2.5242433122805883,2.463718471757459,4.801478661491808,4.394454385502317,5.973379669959227,Low,3.186499165923417,4.4485,6.8732,2.0,3.3392,4.2836,7.5,6.0,4.0
2018,101.5,3.571428571428581,102.25,3.9388264669163,1.3875986172403676,18.631666666666664,5.442369364270894,2.3247453924879258,3.3804492454135193,3.369762440855295,,0,2.2205411267087527,3.1078685226786495,3.0526398488074147,4.9271902617156655,4.071738727383564,4.757569268420448,Low,3.186499165923417,4.4485,6.8732,2.0,3.3392,4.2836,7.5,6.0,4.0
2019,103.75,2.216748768472909,108.0,3.72950573539129,1.4393491872545572,19.15,2.782001967975689,2.360055667994724,2.8354269060848436,3.176694232598032,,0,1.5909850833075205,2.898037175357846,3.0074840982003748,4.564947514176848,3.665501858973523,4.170339071762908,Low,3.186499165923417,4.4485,6.8732,2.0,3.3392,4.2836,7.5,6.0,4.0
2020,104.25,0.4819277108433661,111.75,6.62343677628535,1.5346835706623396,20.16583333333333,5.304612706701484,2.090035016914952,1.9345825313560105,2.787347496692072,,0,4.5096613463160224,2.949647610960686,3.3325515799116356,1.497781499368867,4.763922992864313,4.513631738765466,High,3.186499165923417,4.4485,6.8732,2.0,3.3392,4.2836,7.5,6.0,4.0
2021,106.5,2.158273381294973,115.0,5.13140747176369,1.6134344380752366,20.116666666666667,-0.2438117277573481,1.6189832868704161,1.9440736192245023,2.7085018748930434,1.6189832868704161,1,2.6142676489732746,1.9667512457733392,2.878586846625364,2.778012693915086,5.161449994480109,4.550269964993922,Moderate,3.186499165923417,4.4485,6.8732,2.0,3.3392,4.2836,7.5,6.0,4.0
2022,114.4575,7.471830985915484,122.685,6.69903414079852,1.7215189619212972,21.464166666666667,6.698425849212919,3.370677359351274,3.1800418835910627,3.227159796298218,3.370677359351274,1,3.9197422760523515,3.9967196320807274,3.2961689686222595,3.6724739925613137,6.15129279628252,5.22444211823103,High,3.186499165923417,4.4485,6.8732,2.0,3.3392,4.2836,7.5,6.0,4.0
2023,127.2775,11.200664001922124,128.85500000000002,5.64914318907925,1.818770033107382,22.47833333333333,4.724929145475021,6.943589456377527,4.705888969689771,3.9980792866181947,6.943589456377527,1,3.7265144223101974,3.8532315883215533,3.4381634020268503,3.5771901841177973,5.82652826721382,5.56650546266362,Moderate,3.186499165923417,4.4485,6.8732,2.0,3.3392,4.2836,7.5,6.0,4.0
2024,139.5025,9.6049969554713,137.115,4.95303550973656,1.9088543586876376,22.8,1.431007636983761,9.425830647769637,6.1835386070894485,4.495720208534482,9.425830647769637,1,4.284787543890567,3.5830327221231677,3.2540651305804635,2.6611495876246516,5.76707094653811,5.8112114175326735,Moderate,3.186499165923417,4.4485,6.8732,2.0,3.3392,4.2836,7.5,6.0,4.0
2025,144.985,3.930037096109396,144.985,,,23.77583333333333,4.27997076023392,8.24523268450094,6.873160484142654,4.448462580136248,8.24523268450094,1,3.478635847564234,3.378104332829655,3.339170398933411,1.787199753167742,,,,3.186499165923417,4.4485,6.8732,2.0,3.3392,4.2836,7.5,6.0,4.0
