year,cpi_pct,inflation_multiplier,cumulative_inflation_index,is_estimated
2013,10.0178784746102,1.100178784746102,1.100178784746102,False
2014,6.66565671867899,1.0666565671867898,1.1735129258290113,False
2015,4.90697344127256,1.0490697344127256,1.2310968934293414,False
2016,4.94821634062141,1.0494821634062141,1.2920142310788947,False
2017,3.32817337461298,1.0332817337461297,1.335014704713873,False
2018,3.9388264669163,1.039388264669163,1.3875986172403676,False
2019,3.72950573539129,1.0372950573539128,1.4393491872545572,False
2020,6.62343677628535,1.0662343677628534,1.5346835706623396,False
2021,5.13140747176369,1.0513140747176368,1.6134344380752366,False
2022,6.69903414079852,1.066990341407985,1.7215189619212972,False
2023,5.64914318907925,1.0564914318907925,1.818770033107382,False
2024,4.95303550973656,1.0495303550973656,1.9088543586876379,False
