date,year,month_num,t,rate_close,log_rate,rate_lag1,rate_lag3,rate_lag6,rate_lag12,mom_lag1,mom_change_pct,yoy_change_pct,roll3m,roll6m,roll12m,vol12m,split
2013-01-01,2013,1,0,14.5,2.6741486494265287,,,,,,-2.91,,,,,,train
2013-02-01,2013,2,1,14.8,2.6946271807700692,14.5,,,,-2.91,2.08,,14.65,,,,train
2013-03-01,2013,3,2,14.78,2.6932749155200555,14.8,,,,2.08,-0.16,,14.693333333333333,14.693333333333333,,,train
2013-04-01,2013,4,3,14.61,2.681706225762608,14.78,14.5,,,-0.16,-1.12,,14.729999999999999,14.6725,,,train
2013-05-01,2013,5,4,15.4,2.7343675094195836,14.61,14.8,,,-1.12,5.39,,14.93,14.818000000000001,,,train
2013-06-01,2013,6,5,16.2,2.785011242238338,15.4,14.78,,,5.39,5.21,,15.40333333333333,15.048333333333332,15.048333333333332,0.6444351531897271,train
2013-07-01,2013,7,6,16.56,2.8069901489571136,16.2,14.61,14.5,,5.21,2.23,,16.05333333333333,15.391666666666666,15.264285714285714,0.8200783934652661,train
2013-08-01,2013,8,7,17.89,2.884241897520628,16.56,15.4,14.8,,2.23,7.99,,16.883333333333333,15.906666666666666,15.5925,1.199270611663607,train
2013-09-01,2013,9,8,17.04,2.8355635214011694,17.89,16.2,14.78,,7.99,-4.76,,17.163333333333334,16.283333333333335,15.753333333333334,1.2211777102453198,train
2013-10-01,2013,10,9,16.77,2.8195915758351173,17.04,16.56,14.61,,-4.76,-1.54,,17.233333333333334,16.643333333333334,15.855,1.1953823191301147,train
2013-11-01,2013,11,10,16.99,2.8326249356838407,16.77,17.89,15.4,,-1.54,1.26,,16.933333333333334,16.90833333333333,15.958181818181817,1.1845490127623957,train
2013-12-01,2013,12,11,16.83,2.8231630082027146,16.99,17.04,16.2,,1.26,-0.94,,16.863333333333333,17.013333333333332,16.030833333333334,1.1571238507872046,train
2014-01-01,2014,1,12,17.07,2.837322536806349,16.83,16.77,16.56,14.5,-0.94,1.43,17.72413793103449,16.96333333333333,17.098333333333333,16.245,1.0835253909010516,train
2014-02-01,2014,2,13,16.82,2.822568654544802,17.07,16.99,17.89,14.8,1.43,-1.42,13.648648648648653,16.906666666666666,16.919999999999998,16.41333333333333,0.99164081962751,train
2014-03-01,2014,3,14,16.34,2.7936160894318567,16.82,16.83,17.04,14.78,-1.42,-2.89,10.55480378890392,16.743333333333336,16.80333333333333,16.543333333333333,0.8502227872027379,train
2014-04-01,2014,4,15,16.43,2.799108932049177,16.34,17.07,16.77,14.61,-2.89,0.56,12.457221081451063,16.53,16.746666666666666,16.695,0.5992950404054331,train
2014-05-01,2014,5,16,16.11,2.779440197188883,16.43,16.82,16.99,15.4,0.56,-1.94,4.610389610389598,16.293333333333333,16.599999999999998,16.754166666666666,0.48372528517243746,train
2014-06-01,2014,6,17,16.35,2.7942278973432626,16.11,16.34,16.83,16.2,-1.94,1.48,0.92592592592593,16.296666666666667,16.52,16.766666666666666,0.46984201084143096,train
2014-07-01,2014,7,18,16.49,2.8027541365715076,16.35,16.43,17.07,16.56,1.48,0.84,-0.4227053140096637,16.316666666666666,16.423333333333332,16.760833333333334,0.47306463777707564,train
2014-08-01,2014,8,19,16.47,2.8015405441895487,16.49,16.11,16.82,17.89,0.84,-0.08,-7.937395192845176,16.436666666666667,16.365,16.6425,0.31669098790174993,train
2014-09-01,2014,9,20,16.86,2.8249439525737094,16.47,16.35,16.34,17.04,-0.08,2.36,-1.056338028169013,16.606666666666666,16.451666666666664,16.6275,0.2999734836766335,train
2014-10-01,2014,10,21,16.71,2.8160073426073025,16.86,16.49,16.43,16.77,2.36,-0.87,-0.3577817531305816,16.68,16.498333333333335,16.6225,0.2978750500705793,train
2014-11-01,2014,11,22,16.93,2.829087196145044,16.71,16.47,16.11,16.99,-0.87,1.32,-0.3531489111241792,16.833333333333332,16.634999999999998,16.6175,0.29158267188819587,train
