year,hpi_assessment_avg,hpi_market_avg,hpi_primary_avg,quarters_in_year,hpi_annual_growth_pct,hpi_cagr_from_2013
2013,84.66666666666667,86.0,86.0,3,,
2014,89.25,90.25,90.25,4,4.941860465116288,0.04941860465116288
2015,89.75,94.75,94.75,4,4.986149584487531,0.04964002688850977
2016,95.75,96.75,96.75,4,2.110817941952514,0.040041911525952045
2017,99.0,98.0,98.0,4,1.2919896640826822,0.033194072925426976
2018,102.25,101.5,101.5,4,3.571428571428581,0.03369762440855295
2019,108.0,103.75,103.75,4,2.2167487684729092,0.03176694232598032
2020,111.75,104.25,104.25,4,0.48192771084336616,0.02787347496692072
2021,115.0,106.5,106.5,4,2.158273381294973,0.027085018748930434
2022,122.685,114.4575,114.4575,4,7.471830985915484,0.03227159796298218
2023,128.85500000000002,127.2775,127.2775,4,11.200664001922123,0.03998079286618195
2024,137.115,139.13333333333333,139.5025,4,9.6049969554713,0.044957202085344816
2025,144.985,,144.985,4,3.9300370961093956,0.044484625801362476
