quarter,hpi_assessment,hpi_market,year,month,quarter_label,hpi_primary,hpi_source,hpi_qoq_pct,hpi_yoy_pct
2013-06-01,83.0,85.0,2013,6,2013-Q2,85.0,market,,
2013-09-01,85.0,86.0,2013,9,2013-Q3,86.0,market,1.17647058823529,
2013-12-01,86.0,87.0,2013,12,2013-Q4,87.0,market,1.1627906976744207,
2014-03-01,88.0,88.0,2014,3,2014-Q1,88.0,market,1.1494252873563315,
2014-06-01,89.0,90.0,2014,6,2014-Q2,90.0,market,2.2727272727272707,5.882352941176472
2014-09-01,90.0,91.0,2014,9,2014-Q3,91.0,market,1.1111111111111072,5.813953488372103
2014-12-01,90.0,92.0,2014,12,2014-Q4,92.0,market,1.098901098901095,5.747126436781613
2015-03-01,89.0,94.0,2015,3,2015-Q1,94.0,market,2.1739130434782705,6.818181818181812
2015-06-01,89.0,94.0,2015,6,2015-Q2,94.0,market,0.0,4.444444444444451
2015-09-01,90.0,95.0,2015,9,2015-Q3,95.0,market,1.0638297872340496,4.395604395604402
2015-12-01,91.0,96.0,2015,12,2015-Q4,96.0,market,1.0526315789473717,4.347826086956519
2016-03-01,93.0,96.0,2016,3,2016-Q1,96.0,market,0.0,2.127659574468077
2016-06-01,95.0,97.0,2016,6,2016-Q2,97.0,market,1.041666666666674,3.1914893617021267
2016-09-01,97.0,97.0,2016,9,2016-Q3,97.0,market,0.0,2.1052631578947434
2016-12-01,98.0,97.0,2016,12,2016-Q4,97.0,market,0.0,1.041666666666674
2017-03-01,100.0,97.0,2017,3,2017-Q1,97.0,market,0.0,1.041666666666674
2017-06-01,99.0,98.0,2017,6,2017-Q2,98.0,market,1.0309278350515427,1.0309278350515427
2017-09-01,98.0,98.0,2017,9,2017-Q3,98.0,market,0.0,1.0309278350515427
2017-12-01,99.0,99.0,2017,12,2017-Q4,99.0,market,1.0204081632652962,2.0618556701030855
2018-03-01,100.0,100.0,2018,3,2018-Q1,100.0,market,1.0101010101010166,3.092783505154628
2018-06-01,101.0,101.0,2018,6,2018-Q2,101.0,market,1.0000000000000009,3.0612244897959107
2018-09-01,103.0,102.0,2018,9,2018-Q3,102.0,market,0.990099009900991,4.081632653061229
2018-12-01,105.0,103.0,2018,12,2018-Q4,103.0,market,0.9803921568627416,4.040404040404044
2019-03-01,106.0,103.0,2019,3,2019-Q1,103.0,market,0.0,3.0000000000000027
2019-06-01,107.0,104.0,2019,6,2019-Q2,104.0,market,0.9708737864077666,2.970297029702973
2019-09-01,109.0,104.0,2019,9,2019-Q3,104.0,market,0.0,1.9607843137254832
2019-12-01,110.0,104.0,2019,12,2019-Q4,104.0,market,0.0,0.9708737864077666
2020-03-01,111.0,104.0,2020,3,2020-Q1,104.0,market,0.0,0.9708737864077666
2020-06-01,112.0,104.0,2020,6,2020-Q2,104.0,market,0.0,0.0
2020-09-01,112.0,104.0,2020,9,2020-Q3,104.0,market,0.0,0.0
2020-12-01,112.0,105.0,2020,12,2020-Q4,105.0,market,0.9615384615384581,0.9615384615384581
2021-03-01,114.0,105.0,2021,3,2021-Q1,105.0,market,0.0,0.9615384615384581
2021-06-01,114.0,106.0,2021,6,2021-Q2,106.0,market,0.952380952380949,1.9230769230769162
2021-09-01,115.0,107.0,2021,9,2021-Q3,107.0,market,0.9433962264151052,2.8846153846153744
2021-12-01,117.0,108.0,2021,12,2021-Q4,108.0,market,0.9345794392523255,2.857142857142847
2022-03-01,120.0,110.0,2022,3,2022-Q1,110.0,market,1.85185185185186,4.761904761904767
2022-06-01,122.0,112.0,2022,6,2022-Q2,112.0,market,1.8181818181818077,5.660377358490565
2022-09-01,123.46,116.12,2022,9,2022-Q3,116.12,market,3.678571428571442,8.523364485981322
2022-12-01,125.28,119.71,2022,12,2022-Q4,119.71,market,3.091629348949354,10.842592592592592
2023-03-01,126.91,122.87,2023,3,2023-Q1,122.87,market,2.6397126388773007,11.7
2023-06-01,127.81,125.69,2023,6,2023-Q2,125.69,market,2.295108651420197,12.22321428571429
2023-09-01,129.49,128.56,2023,9,2023-Q3,128.56,market,2.2833956559789925,10.713055459869093
2023-12-01,131.21,131.99,2023,12,2023-Q4,131.99,market,2.6680149346608673,10.258123799181362
2024-03-01,133.32,135.37,2024,3,2024-Q1,135.37,market,2.5608000606106573,10.173353951330677
2024-06-01,136.2,139.08,2024,6,2024-Q2,139.08,market,2.740636773288041,10.653194367093665
2024-09-01,138.33,142.95,2024,9,2024-Q3,142.95,market,2.7825711820534726,11.19321717485997
2024-12-01,140.61,,2024,12,2024-Q4,140.61,assessment_imputed,-1.6369359916054371,6.530797787711196
2025-03-01,143.29,,2025,3,2025-Q1,143.29,assessment_imputed,1.9059810824265444,5.850631602275236
2025-06-01,143.98,,2025,6,2025-Q2,143.98,assessment_imputed,0.48154093097914075,3.5231521426516865
2025-09-01,145.02,,2025,9,2025-Q3,145.02,assessment_imputed,0.7223225447978932,1.448058761804849
2025-12-01,147.65,,2025,12,2025-Q4,147.65,assessment_imputed,1.813542959591774,5.006756276225022
