"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","24.47","24.33","24.80","24.30","","0.58%"
"11/01/2025","24.33","24.17","24.43","24.05","","0.66%"
"10/01/2025","24.17","24.19","24.20","23.85","","-0.08%"
"09/01/2025","24.19","24.01","24.22","23.87","","0.75%"
"08/01/2025","24.01","23.83","24.04","23.66","","0.76%"
"07/01/2025","23.83","23.33","23.92","23.19","","2.10%"
"06/01/2025","23.34","23.29","23.67","23.22","","0.26%"
"05/01/2025","23.28","23.03","23.45","22.81","","1.09%"
"04/01/2025","23.03","23.27","23.62","23.00","","-1.03%"
"03/01/2025","23.27","23.82","23.82","23.25","","-2.31%"
"02/01/2025","23.82","23.57","23.96","23.50","","1.06%"
"01/01/2025","23.57","23.30","23.61","23.30","","1.21%"
"12/01/2024","23.29","23.02","23.37","23.01","","1.16%"
"11/01/2024","23.02","22.89","23.04","22.88","","0.60%"
"10/01/2024","22.88","22.81","22.91","22.81","","0.36%"
"09/01/2024","22.80","22.84","22.88","22.72","","-0.14%"
"08/01/2024","22.83","22.79","22.91","22.77","","0.21%"
"07/01/2024","22.79","22.69","22.82","22.69","","0.41%"
"06/01/2024","22.69","22.72","22.78","22.58","","-0.08%"
"05/01/2024","22.71","22.72","22.75","22.60","","0.00%"
"04/01/2024","22.72","22.70","22.80","22.64","","0.11%"
"03/01/2024","22.69","22.57","22.80","22.50","","0.55%"
"02/01/2024","22.57","22.62","22.63","22.55","","-0.20%"
"01/01/2024","22.61","22.66","22.70","22.53","","-0.15%"
"12/01/2023","22.65","22.71","22.73","22.57","","-0.21%"
"11/01/2023","22.69","22.67","22.73","22.57","","0.13%"
"10/01/2023","22.67","22.61","22.69","22.58","","0.28%"
"09/01/2023","22.60","22.52","22.70","22.48","","0.40%"
"08/01/2023","22.51","22.39","22.72","22.38","","0.56%"
"07/01/2023","22.39","22.35","22.55","22.24","","0.18%"
"06/01/2023","22.35","22.51","22.52","22.28","","-0.72%"
"05/01/2023","22.51","22.26","22.59","22.23","","1.16%"
"04/01/2023","22.25","22.38","22.46","22.20","","-0.53%"
"03/01/2023","22.37","22.50","22.58","22.22","","-0.56%"
"02/01/2023","22.50","22.26","22.61","22.24","","1.10%"
"01/01/2023","22.25","22.53","22.61","22.02","","-1.19%"
"12/01/2022","22.52","22.15","22.60","22.05","","1.68%"
"11/01/2022","22.15","22.54","22.60","21.91","","-1.70%"
"10/01/2022","22.53","22.19","22.67","22.13","","1.55%"
"09/01/2022","22.19","21.65","22.33","21.51","","2.54%"
"08/01/2022","21.64","21.60","21.82","21.34","","0.19%"
"07/01/2022","21.60","21.50","21.84","21.45","","0.49%"
"06/01/2022","21.49","21.13","21.53","21.07","","1.78%"
"05/01/2022","21.12","20.84","21.21","20.69","","1.37%"
"04/01/2022","20.83","20.67","20.91","20.49","","0.81%"
"03/01/2022","20.66","20.56","21.01","20.49","","0.54%"
"02/01/2022","20.55","20.30","20.65","20.24","","1.30%"
"01/01/2022","20.29","20.28","20.51","20.08","","0.08%"
"12/01/2021","20.27","20.45","20.81","20.17","","-0.83%"
"11/01/2021","20.44","20.40","20.47","20.10","","0.24%"
"10/01/2021","20.39","20.19","20.60","20.17","","1.00%"
"09/01/2021","20.19","19.86","20.25","19.85","","1.68%"
"08/01/2021","19.86","20.24","20.29","19.85","","-1.86%"
"07/01/2021","20.24","20.25","20.43","20.21","","-0.03%"
"06/01/2021","20.24","19.74","20.27","19.74","","2.55%"
"05/01/2021","19.74","20.17","20.24","19.69","","-2.07%"
"04/01/2021","20.16","19.91","20.57","19.91","","1.25%"
"03/01/2021","19.91","20.13","20.13","19.67","","-1.06%"
